Player,Position,Acquirer,Years,Contract Value (m),Age,WAR
J.T. Realmuto,C,PHI,3,45.00,35,4.0
Victor Caratini,C,MIN,2,14.00,32,2.7
Danny Jansen,C,TEX,2,14.50,31,1.8
James McCann,C,AZ,1,2.75,36,0.9
Yohel Pozo,C,STL,1,0.85,29,0.2
Andrew Knizner,C,SEA,1,1.00,31,-0.4
Pete Alonso,1B,BAL,5,155.00,31,5.6
Josh Naylor,1B,SEA,5,92.50,29,5.4
Ryan O'Hearn,1B,PIT,2,29.00,32,4.6
Josh Bell,1B,MIN,1,7.00,33,0.1
Munetaka Murakami,1B,CWS,2,34.00,26,
Tyler Austin,1B,CHC,1,1.25,34,
Willi Castro,2B,COL,2,12.80,29,3.5
Jorge Polanco,2B,NYM,2,40.00,32,3.0
Amed Rosario,2B,NYY,1,2.50,30,0.7
Miguel Rojas,SS,LAD,1,5.50,37,4.5
Bo Bichette,SS,NYM,3,126.00,28,4.1
Ha-Seong Kim,SS,ATL,1,20.00,30,2.9
Alex Bregman,3B,CHC,5,175.00,32,7.7
Andy Ibanez,3B,LAD,1,1.20,32,1.1
Kazuma Okamoto,3B,TOR,4,60.00,30,
Sung-Mun Song,3B,SD,4,15.00,29,
Rob Refsnuder,LF,SEA,1,6.25,35,2.3
Akil Baddoo,LF,MIL,1,1.25,27,-0.3
Christopher Morel,LF,MIA,1,2.00,27,-1.1
Cedric Mullins,CF,TB,1,7.00,31,3.5
JJ Bleday,CF,CIN,1,1.40,28,3.1
Leody Taveras,CF,BAL,1,2.00,27,0.4
Kyle Tucker,RF,LAD,4,240.00,29,8.7
Mike Yastrzemski,RF,ATL,2,23.00,35,4.1
Jake Fraley,RF,TB,1,3.00,31,1.3
Lane Thomas,RF,KC,1,5.25,30,0.9
Adolis Garcia,RF,PHI,1,10.00,33,0.6
Kyle Schwarber,DH,PHI,5,150.00,33,8.3
Dylan Cease,SP,TOR,7,210.00,30,8.1
Ranger Suarez,SP,BOS,5,130.00,30,7.5
Michael King,SP,SD,3,75.00,31,4.7
Merrill Kelly,SP,AZ,2,40.00,37,3.8
Zach Eflin,SP,BAL,1,10.00,32,2.6
Adrian Houser,SP,SF,2,22.00,33,2.1
Tyler Mahle,SP,SF,1,10.00,31,2.1
Michael Lorenzen,SP,COL,1,8.00,34,1.9
Michael Soroka,SP,AZ,1,7.50,28,1.5
Dustin May,SP,STL,1,12.50,28,0.8
Paul Blackburn,SP,NYY,1,2.00,32,0.6
Ryan Yarbrough,SP,NYY,1,2.50,34,0.1
Alek Manoah,SP,LAA,1,1.95,28,0.0
Kyle Hart,SP,SD,1,5.00,33,-0.2
Drew Anderson,SP,DET,1,7.00,32,
Foster Griffin,SP,WSH,1,5.50,30,
Tatsuya Imai,SP,HOU,3,54.00,28,
Anthony Kay,SP,CWS,2,12.00,31,
Cody Ponce,SP,TOR,3,30.00,32,
Ryan Weiss,SP,HOU,1,2.60,29,
Edwin Diaz,RP,LAD,3,69.00,32,3.1
Robert Suarez,RP,ATL,3,45.00,35,2.8
Raisel Iglesias,RP,ATL,1,16.00,36,2.6
Ryan Helsley,RP,BAL,2,28.00,31,2.5
Devin Williams,RP,NYM,3,45.00,31,2.2
Shawn Armstrong,RP,CLE,1,5.50,35,2.0
Kenley Jansen,RP,DET,1,9.00,38,2.0
Hoby Milner,RP,CHC,1,3.75,35,1.9
Tyler Rogers,RP,TOR,3,37.00,35,1.9
Kirby Yates,RP,LAA,1,5.00,39,1.8
Mark Leiter Jr,RP,ATH,1,3.00,35,1.7
Phil Maton,RP,CHC,2,14.50,33,1.6
Pete Fairbanks,RP,MIA,1,13.00,32,1.5
Sean Newcomb,RP,CWS,1,4.50,33,1.5
Emilio Pagan,RP,CIN,2,20.00,35,1.5
Chris Martin,RP,TEX,1,4.00,40,1.4
Luke Weaver,RP,NYM,2,22.00,32,1.4
Caleb Theilbar,RP,CHC,1,4.50,39,1.3
Kyle Finnegan,RP,DET,2,19.00,34,1.2
Hunter Harvey,RP,CHC,1,6.00,31,1.2
Steven Matz,RP,TB,2,15.00,35,1.2
Gregory Soto,RP,PIT,1,7.75,31,1.2
Caleb Ferguson,RP,CIN,1,4.50,29,1.1
Brad Keller,RP,PHI,2,22.00,30,0.9
Jacob Webb,RP,CHC,1,2.50,32,0.9
Tyler Kinley,RP,ATL,1,5.50,35,0.8
Tyler Alexander,RP,TEX,1,14.50,31,0.7
Ian Hamilton,RP,ATL,1,1.05,31,0.7
Pierce Johnson,RP,CIN,1,6.50,35,0.7
Drew Pomeranz,RP,LAA,1,2.00,37,0.7
Joel Payamps,RP,ATL,1,2.25,32,0.4
Danny Young,RP,ATL,1,0.93,32,0.4
Taylor Clarke,RP,AZ,1,1.50,33,0.3
Jason Foley,RP,SF,1,2.00,30,0.3
Sam Hentges,RP,SF,1,1.40,29,0.3
Keegan Thompson,RP,CIN,1,1.30,31,0.2
Ryne Stanek,RP,STL,1,3.50,34,0.0
Richard Lovelady,RP,NYM,1,1.00,30,-0.2
Colin Holderman,RP,CLE,1,1.50,30,-0.3
Ty Adcock,RP,SD,1,0.85,29,-0.4
Alexis Diaz,RP,TEX,1,1.13,29,-0.4
Jordan Romano,RP,LAA,1,2.00,33,-0.7
Connor Brogdon,RP,CLE,1,0.90,31,-0.9
Zach Pop,RP,PHI,1,0.90,29,-1.0